model_name,evaluation_type,f1,roc_auc,precision,recall
Hist Gradient Boosting,offline_cv_default,0.8750687433459522,0.9452392039584392,0.9124682806346381,0.8408261844037407
Gradient Boosting,offline_cv_default,0.874942614354351,0.9494700701092891,0.8857865709401314,0.864576087796584
Logistic Regression,offline_cv_default,0.8679101425961351,0.9450242279634924,0.8751225568643207,0.861063451580493
Random Forest,offline_cv_default,0.8677025316195124,0.94646349220977,0.8955549628936934,0.8416956488136641
Gradient Boosting,offline_cv_tuned,0.8774022925596119,0.9474917254975352,0.8964259337571978,0.8592974727567817
Hist Gradient Boosting,offline_cv_tuned,0.8785868135210559,0.9478259922896923,0.9068168623881778,0.8522644717520675
Hist Gradient Boosting,online_test,0.9010238907849829,0.9698393983812378,0.8741721854304636,0.9295774647887324
